_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
271.325542	-19.855927	271.325542	-19.855927	18051813-1951213	14.553	0.033	11.545	0.029	10.219	0.024	AAA	222	111	000	0	0
271.317341	-19.822454	271.317341	-19.822454	18051616-1949208	14.873	0.044	11.809	0.059	10.274	0.035	AAA	222	111	c00	0	0
271.291552	-19.835716	271.291552	-19.835716	18050997-1950085	13.000	0.029	11.125	0.029	10.317	0.023	AAA	222	111	000	0	0
271.290177	-19.821402	271.290177	-19.821402	18050964-1949170	13.540	0.029	11.276	0.026	10.343	0.023	AAA	222	111	000	0	0
271.286931	-19.847239	271.286931	-19.847239	18050886-1950500	13.422	0.032	11.400	0.030	10.390	0.021	AAA	222	111	000	0	0
271.328497	-19.865067	271.328497	-19.865067	18051883-1951542	14.218	0.024	11.658	0.023	10.478	0.019	AAA	222	111	000	0	0
271.307259	-19.825926	271.307259	-19.825926	18051374-1949333	14.039	0.039	11.717	0.029	10.623	0.021	AAA	222	111	00s	0	0
271.279429	-19.820518	271.279429	-19.820518	18050706-1949138	14.303	0.039	11.797	0.026	10.625	0.023	AAA	222	111	000	0	0
271.322477	-19.862280	271.322477	-19.862280	18051739-1951442	14.564	0.041	11.964	0.037	10.704	0.029	AAA	222	111	0ss	0	0
271.284336	-19.847149	271.284336	-19.847149	18050824-1950497	13.517	0.039	11.639	0.037	10.816	0.026	AAA	222	111	000	0	0
271.287638	-19.867514	271.287638	-19.867514	18050903-1952030	14.142	0.059	11.974	0.073	10.957	0.039	AAA	222	112	ccc	0	0
271.318774	-19.824039	271.318774	-19.824039	18051650-1949265	14.826	0.032	12.137	0.024	10.957	0.023	AAA	222	111	000	0	0
271.299409	-19.843142	271.299409	-19.843142	18051185-1950353	14.458	0.041	12.052	0.029	10.959	0.026	AAA	222	111	000	0	0
271.283135	-19.851360	271.283135	-19.851360	18050795-1951048	14.180	0.110	13.533	0.169	10.991		ECU	226	210	cc0	0	0
271.278825	-19.836069	271.278825	-19.836069	18050691-1950098	13.908	0.096	11.974	0.054	11.025	0.029	AAA	222	111	ccc	0	0
271.327034	-19.836769	271.327034	-19.836769	18051848-1950123	15.819	0.070	12.542	0.024	11.052	0.021	BAA	222	111	000	0	0
271.303990	-19.851986	271.303990	-19.851986	18051295-1951071	14.301	0.051	12.049	0.035	11.071	0.031	AAA	222	111	000	0	0
271.298092	-19.826536	271.298092	-19.826536	18051154-1949355	15.025	0.098	11.978		11.078		AUU	200	100	c00	0	0
271.315816	-19.865723	271.315816	-19.865723	18051579-1951566	12.502	0.027	11.529	0.032	11.173	0.029	AAA	222	111	000	0	0
271.294359	-19.832123	271.294359	-19.832123	18051064-1949556	13.911	0.080	11.866		11.174		AUU	266	200	c00	0	0
271.316044	-19.838751	271.316044	-19.838751	18051585-1950195	14.457	0.041	12.166	0.037	11.190	0.019	AEA	222	111	000	0	0
271.298050	-19.832209	271.298050	-19.832209	18051153-1949559	13.222		12.633	0.058	11.288		UEU	626	020	0c0	0	0
271.325798	-19.823400	271.325798	-19.823400	18051819-1949242	15.614	0.068	12.694	0.026	11.369	0.021	BAA	222	111	000	0	0
271.309325	-19.835129	271.309325	-19.835129	18051423-1950064	14.534	0.026	12.350	0.027	11.400	0.024	AAA	222	111	000	0	0
271.296987	-19.818169	271.296987	-19.818169	18051127-1949054	14.289	0.037	12.309	0.039	11.408	0.031	AAA	222	111	000	0	0
271.303748	-19.830814	271.303748	-19.830814	18051289-1949509	14.664	0.041	12.466	0.030	11.471	0.024	AAA	222	111	000	0	0
271.278170	-19.859989	271.278170	-19.859989	18050676-1951359	14.573	0.037	12.490	0.029	11.523	0.023	AAA	222	111	000	0	0
271.293807	-19.833920	271.293807	-19.833920	18051051-1950021	14.272	0.055	12.367	0.048	11.538	0.031	AAA	222	111	000	0	0
271.329047	-19.841427	271.329047	-19.841427	18051897-1950291	14.624		12.780		11.605	0.050	UUA	062	002	00c	0	0
271.281492	-19.825617	271.281492	-19.825617	18050755-1949322	14.506	0.047	12.566	0.049	11.613	0.031	AAA	222	111	00s	0	0
271.310480	-19.849295	271.310480	-19.849295	18051451-1950574	14.592		12.246		11.633	0.064	UUE	662	003	00c	0	0
271.295000	-19.832952	271.295000	-19.832952	18051080-1949586	15.251	0.078	12.337		11.640		AUU	266	200	c00	0	0
271.315962	-19.822573	271.315962	-19.822573	18051583-1949212	14.802	0.076	13.923	0.069	11.644		AAU	220	110	0c0	0	0
271.300160	-19.858290	271.300160	-19.858290	18051203-1951298	14.590	0.036	12.559	0.040	11.652	0.038	AAA	222	111	000	0	0
271.281439	-19.857733	271.281439	-19.857733	18050754-1951278	14.605	0.071	12.365		11.656		EUU	200	100	c00	0	0
271.298300	-19.831291	271.298300	-19.831291	18051159-1949526	13.152		13.007	0.117	11.664		UBU	626	020	0c0	0	0
271.302975	-19.847546	271.302975	-19.847546	18051271-1950511	15.201	0.054	12.761	0.030	11.689	0.030	AAA	222	111	000	0	0
271.289416	-19.859400	271.289416	-19.859400	18050945-1951338	14.665	0.077	12.737	0.084	11.727	0.065	AEE	222	111	000	0	0
271.320713	-19.843981	271.320713	-19.843981	18051697-1950383	15.162	0.064	12.860	0.062	11.761	0.052	AAA	222	111	000	0	0
271.329151	-19.842304	271.329151	-19.842304	18051899-1950322	14.382	0.041	12.933		11.781		AUU	200	100	000	0	0
271.281425	-19.862013	271.281425	-19.862013	18050754-1951432	14.720	0.045	12.643	0.029	11.787	0.027	AAA	222	111	0ss	0	0
271.328589	-19.845438	271.328589	-19.845438	18051886-1950435	16.308		13.507	0.069	11.812	0.035	UAA	022	011	000	0	0
271.290533	-19.853235	271.290533	-19.853235	18050972-1951116	14.168	0.039	12.540	0.044	11.822	0.034	AAA	222	111	0cc	0	0
271.287979	-19.835293	271.287979	-19.835293	18050911-1950070	14.648	0.049	12.671	0.041	11.830	0.033	AAA	222	111	000	0	0
271.295763	-19.852757	271.295763	-19.852757	18051098-1951099	14.646	0.045	12.707	0.043	11.858	0.033	AAA	222	111	000	0	0
271.326887	-19.828423	271.326887	-19.828423	18051845-1949423	17.737		13.725	0.035	11.882	0.024	UAA	022	011	000	0	0
271.323906	-19.856541	271.323906	-19.856541	18051773-1951235	16.034	0.088	13.356	0.059	11.936	0.039	CAA	222	111	ccc	0	0
271.290639	-19.860245	271.290639	-19.860245	18050975-1951368	15.100	0.051	12.906	0.039	11.949	0.026	AAA	222	111	c00	0	0
271.308324	-19.854818	271.308324	-19.854818	18051399-1951173	14.482	0.052	12.757		11.957		AUU	200	100	000	0	0
271.323651	-19.854519	271.323651	-19.854519	18051767-1951162	16.187		13.283	0.056	11.963	0.050	UAA	022	011	000	0	0
271.280680	-19.857780	271.280680	-19.857780	18050736-1951280	13.182		12.833	0.073	11.967	0.050	UAA	022	011	0cc	0	0
271.287775	-19.862179	271.287775	-19.862179	18050906-1951438	15.114	0.080	13.000	0.066	11.971	0.049	AEE	222	111	css	0	0
271.299852	-19.819628	271.299852	-19.819628	18051196-1949106	13.164	0.023	12.287	0.029	11.981	0.027	AAA	222	111	000	0	0
271.291172	-19.838377	271.291172	-19.838377	18050988-1950181	14.466	0.033	12.791	0.037	11.982	0.031	AAA	222	111	000	0	0
271.280813	-19.849333	271.280813	-19.849333	18050739-1950575	14.744	0.095	12.797	0.054	11.996		AAU	226	210	c00	0	0
271.293879	-19.821758	271.293879	-19.821758	18051053-1949183	14.699	0.057	12.821	0.055	11.997	0.044	AAA	222	111	000	0	0
271.304487	-19.819990	271.304487	-19.819990	18051307-1949119	14.549		13.017	0.083	12.012	0.063	UEA	622	012	00c	0	0
271.298664	-19.826433	271.298664	-19.826433	18051167-1949351	13.193		12.993	0.088	12.044	0.053	UAA	022	012	0cc	0	0
271.304327	-19.853128	271.304327	-19.853128	18051303-1951112	15.045	0.055	12.837		12.067		AUU	200	100	c00	0	0
271.292194	-19.831366	271.292194	-19.831366	18051012-1949529	14.953	0.055	12.948	0.056	12.074	0.037	AAA	222	111	000	0	0
271.287001	-19.861013	271.287001	-19.861013	18050888-1951396	14.301	0.093	12.652		12.079		AUU	200	100	000	0	0
271.299507	-19.822102	271.299507	-19.822102	18051188-1949195	14.774	0.056	12.906	0.057	12.083	0.043	AAA	222	111	ccc	0	0
271.327500	-19.851391	271.327500	-19.851391	18051860-1951050	15.545		13.223		12.108	0.038	UUA	062	002	00c	0	0
271.300403	-19.838499	271.300403	-19.838499	18051209-1950185	15.349	0.070	13.151	0.029	12.180	0.029	AAA	222	111	000	0	0
271.329528	-19.839693	271.329528	-19.839693	18051908-1950228	15.606	0.070	13.322	0.027	12.214	0.026	BAA	222	111	000	0	0
271.315153	-19.839340	271.315153	-19.839340	18051563-1950216	14.678		13.472	0.059	12.217	0.132	UAE	022	011	0cc	0	0
271.295800	-19.825241	271.295800	-19.825241	18051099-1949308	15.226	0.083	13.162	0.055	12.224	0.045	AAA	222	212	c0c	0	0
271.318545	-19.827127	271.318545	-19.827127	18051645-1949376	16.111		13.625	0.074	12.237	0.053	UAA	022	012	00c	0	0
271.286057	-19.865681	271.286057	-19.865681	18050865-1951564	15.280	0.134	13.197	0.089	12.238	0.037	BAA	222	112	ccc	0	0
271.308182	-19.855234	271.308182	-19.855234	18051396-1951188	14.240		13.205	0.073	12.240	0.058	UAA	022	011	00d	0	0
271.287523	-19.832096	271.287523	-19.832096	18050900-1949555	14.084	0.070	12.805		12.244		AUU	260	200	c00	0	0
271.314028	-19.827986	271.314028	-19.827986	18051536-1949407	12.631	0.024	12.388	0.033	12.290	0.044	AAA	222	111	000	0	0
271.305577	-19.820005	271.305577	-19.820005	18051333-1949120	13.670		13.180	0.084	12.292	0.051	UEA	022	013	0cc	0	0
271.297944	-19.850201	271.297944	-19.850201	18051150-1951007	13.996	0.054	12.866		12.304		AUU	200	100	000	0	0
271.296049	-19.866203	271.296049	-19.866203	18051105-1951583	14.975	0.044	13.166	0.033	12.331	0.038	AAA	222	111	000	0	0
271.286375	-19.854488	271.286375	-19.854488	18050873-1951161	14.938	0.063	13.205	0.082	12.377	0.053	AAA	222	111	c00	0	0
271.298494	-19.850496	271.298494	-19.850496	18051163-1951017	13.845		13.411	0.089	12.386	0.060	UEA	022	011	000	0	0
271.294371	-19.850950	271.294371	-19.850950	18051064-1951034	14.314	0.078	13.740	0.106	12.415		AAU	220	110	0c0	0	0
271.316047	-19.862120	271.316047	-19.862120	18051585-1951436	15.542	0.080	13.406	0.043	12.418	0.044	BAA	222	111	0ss	0	0
271.324738	-19.834696	271.324738	-19.834696	18051793-1950049	14.139	0.049	12.984	0.055	12.429	0.057	EEA	222	111	000	0	0
271.295063	-19.828609	271.295063	-19.828609	18051081-1949429	14.750	0.054	13.171	0.049	12.440	0.046	AAA	222	111	000	0	0
271.287059	-19.832460	271.287059	-19.832460	18050889-1949568	13.756		12.758		12.466	0.054	UUA	002	001	000	0	0
271.330620	-19.834209	271.330620	-19.834209	18051934-1950031	14.997		14.000	0.115	12.466	0.073	UBA	022	012	0cc	0	0
271.324618	-19.862171	271.324618	-19.862171	18051790-1951438	15.345		13.705	0.048	12.467	0.038	UAA	022	011	0sc	0	0
271.293205	-19.851273	271.293205	-19.851273	18051036-1951045	15.431	0.099	13.391	0.094	12.470	0.060	AEA	222	111	c00	0	0
271.310981	-19.848053	271.310981	-19.848053	18051463-1950529	14.800	0.071	13.384	0.064	12.474	0.059	AAA	222	112	0cc	0	0
271.291802	-19.866396	271.291802	-19.866396	18051003-1951590	14.802		14.121	0.110	12.475		UBU	020	010	0c0	0	0
271.330393	-19.859259	271.330393	-19.859259	18051929-1951333	16.481		13.815	0.039	12.490	0.023	UAA	022	011	000	0	0
271.318048	-19.865871	271.318048	-19.865871	18051633-1951571	15.543		13.602	0.078	12.492	0.051	UAA	022	011	000	0	0
271.280952	-19.850380	271.280952	-19.850380	18050742-1951013	15.014	0.075	14.276	0.096	12.539		ABU	226	210	cc0	0	0
271.281394	-19.834738	271.281394	-19.834738	18050753-1950050	15.592	0.104	13.593	0.103	12.542	0.069	BEE	222	111	c00	0	0
271.315663	-19.849070	271.315663	-19.849070	18051575-1950566	15.277		13.683	0.051	12.544	0.037	UAA	022	011	000	0	0
271.285718	-19.849861	271.285718	-19.849861	18050857-1950594	15.138	0.052	13.345	0.055	12.550	0.034	AAA	222	111	ccc	0	0
271.293006	-19.847509	271.293006	-19.847509	18051032-1950510	15.277	0.067	13.426	0.039	12.561	0.030	AAA	222	111	000	0	0
271.298845	-19.841141	271.298845	-19.841141	18051172-1950281	15.419	0.066	13.563	0.056	12.579	0.053	AAA	222	111	000	0	0
271.295584	-19.831438	271.295584	-19.831438	18051094-1949531	14.348	0.083	13.270	0.087	12.586	0.062	AAA	222	111	ccc	0	0
271.308605	-19.862177	271.308605	-19.862177	18051406-1951438	13.909	0.038	13.160	0.049	12.605	0.041	AAA	222	111	0ss	0	0
271.286555	-19.860470	271.286555	-19.860470	18050877-1951376	14.077		13.393	0.100	12.609	0.062	UEA	022	011	000	0	0
271.319041	-19.833185	271.319041	-19.833185	18051656-1949594	16.391		13.764	0.036	12.620	0.033	UAA	022	011	000	0	0
271.318218	-19.862787	271.318218	-19.862787	18051637-1951460	15.974	0.095	13.694	0.023	12.636	0.030	CAA	222	111	0s0	0	0
271.290218	-19.855652	271.290218	-19.855652	18050965-1951203	13.927	0.055	13.027	0.066	12.654	0.059	AAA	222	111	000	0	0
271.280921	-19.823971	271.280921	-19.823971	18050742-1949262	15.576	0.102	13.388		12.661		BUU	200	100	c00	0	0
271.292041	-19.833435	271.292041	-19.833435	18051008-1950003	15.456	0.071	13.565	0.071	12.662	0.040	AAA	222	111	c00	0	0
271.288167	-19.833012	271.288167	-19.833012	18050916-1949588	14.996	0.076	13.142		12.669		AUU	260	200	c00	0	0
271.307445	-19.844654	271.307445	-19.844654	18051378-1950407	14.619		13.656	0.064	12.674	0.040	UAA	022	011	000	2	0
271.315813	-19.826086	271.315813	-19.826086	18051579-1949339	15.408		13.711	0.073	12.688	0.064	UAA	622	012	00c	0	0
271.286677	-19.836573	271.286677	-19.836573	18050880-1950116	14.756		13.606	0.077	12.691	0.060	UAA	622	012	00c	0	0
271.308218	-19.849810	271.308218	-19.849810	18051397-1950593	14.502	0.049	13.719	0.063	12.703		AAU	220	110	000	0	0
271.317171	-19.830723	271.317171	-19.830723	18051612-1949506	16.265		13.971	0.103	12.705	0.073	UAA	022	011	000	0	0
271.293287	-19.856215	271.293287	-19.856215	18051038-1951223	15.021	0.051	13.472	0.036	12.718	0.031	AAA	222	111	000	0	0
271.281240	-19.843166	271.281240	-19.843166	18050749-1950353	13.762	0.023	13.002	0.023	12.720	0.021	AAA	222	111	ccc	0	0
271.327803	-19.855001	271.327803	-19.855001	18051867-1951180	13.392	0.024	12.940	0.027	12.720	0.039	AAA	222	111	000	0	0
