_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
271.312633	-19.849663	271.312633	-19.849663	18051503-1950587	13.485		12.865		13.040	0.037	UUA	662	002	00c	0	0
271.314216	-19.838375	271.314216	-19.838375	18051541-1950181	15.517		14.073	0.054	13.055	0.043	UAA	022	011	0cc	0	0
271.318410	-19.828220	271.318410	-19.828220	18051641-1949415	16.087		14.270	0.052	13.061	0.047	UBA	022	012	0cc	0	0
271.306179	-19.866941	271.306179	-19.866941	18051348-1952009	14.219		14.058	0.079	13.090	0.051	UAA	022	011	0cc	0	0
271.305595	-19.840477	271.305595	-19.840477	18051334-1950257	14.426	0.082	14.043	0.122	13.099		ABU	220	110	c00	2	0
271.315606	-19.854713	271.315606	-19.854713	18051574-1951169	15.755		14.093	0.107	13.101	0.083	UBA	022	011	000	0	0
271.291393	-19.837019	271.291393	-19.837019	18050993-1950132	14.231		12.254		13.107	0.065	UUA	002	001	00c	0	0
271.291534	-19.828485	271.291534	-19.828485	18050996-1949425	15.974		13.997	0.076	13.110	0.050	UAA	022	011	000	0	0
271.282543	-19.857096	271.282543	-19.857096	18050781-1951255	14.880		13.960	0.068	13.112	0.071	UAA	022	011	0cc	0	0
271.314138	-19.858822	271.314138	-19.858822	18051539-1951317	15.023	0.056	14.181	0.077	13.117		ABU	220	110	000	0	0
271.308029	-19.849651	271.308029	-19.849651	18051392-1950587	14.293		13.346		13.122	0.046	UUA	002	001	000	0	0
271.283409	-19.860624	271.283409	-19.860624	18050801-1951382	15.960	0.087	14.063	0.075	13.123	0.029	CAA	222	111	00s	0	0
271.290435	-19.833199	271.290435	-19.833199	18050970-1949595	15.710	0.093	13.999	0.110	13.136	0.072	BBA	222	112	0cc	0	0
271.289581	-19.832361	271.289581	-19.832361	18050949-1949564	15.749	0.100	13.902	0.065	13.146	0.052	BAA	222	112	c0c	0	0
271.285693	-19.833450	271.285693	-19.833450	18050856-1950004	15.728	0.155	13.840		13.150		BUU	200	100	000	0	0
271.321962	-19.845064	271.321962	-19.845064	18051727-1950422	15.590		14.230	0.067	13.155	0.055	UBA	022	022	0cc	0	0
271.330899	-19.861450	271.330899	-19.861450	18051941-1951412	16.427		14.520	0.085	13.160	0.055	UCA	022	011	0cs	0	0
271.290838	-19.847052	271.290838	-19.847052	18050980-1950493	15.814	0.109	13.964	0.079	13.176	0.069	BAA	222	111	000	0	0
271.283038	-19.863548	271.283038	-19.863548	18050792-1951487	15.734		14.136	0.036	13.182	0.039	UBA	022	012	0cc	0	0
271.300422	-19.850594	271.300422	-19.850594	18051210-1951021	16.397		14.295	0.072	13.192	0.039	UBA	022	011	000	0	0
271.313482	-19.853207	271.313482	-19.853207	18051523-1951115	14.066	0.030	13.436	0.051	13.200	0.065	AAA	222	111	000	0	0
271.294296	-19.839760	271.294296	-19.839760	18051063-1950231	14.707		14.094	0.098	13.207	0.061	UBA	022	011	000	0	0
271.307989	-19.845695	271.307989	-19.845695	18051391-1950445	14.816	0.052	14.289	0.066	13.215		ABU	220	110	0c0	2	0
271.295620	-19.818367	271.295620	-19.818367	18051094-1949061	15.419		14.250	0.059	13.216	0.041	UBA	022	011	0cc	0	0
